Iter 698000,error 0.817
Iter 699000,error 0.817
Iter 700000,error 0.828
Iter 701000,error 0.818
Iter 702000,error 0.824
Iter 703000,error 0.826
Iter 704000,error 0.819
Iter 705000,error 0.839
Iter 706000,error 0.822
Iter 707000,error 0.838
Iter 708000,error 0.831
Iter 709000,error 0.855
Iter 710000,error 0.824
Iter 711000,error 0.821
Iter 712000,error 0.817
Iter 713000,error 0.814
Iter 714000,error 0.814
Iter 715000,error 0.837
Iter 716000,error 0.813
Iter 717000,error 0.819
Iter 718000,error 0.834
Iter 719000,error 0.824
Iter 720000,error 0.814
Iter 721000,error 0.819
Iter 722000,error 0.814
Iter 723000,error 0.817
Iter 724000,error 0.84
Iter 725000,error 0.813
Iter 726000,error 0.815
Iter 727000,error 0.822
Iter 728000,error 0.815
Iter 729000,error 0.822
Iter 730000,error 0.815
Iter 731000,error 0.825
Iter 732000,error 0.821
Iter 733000,error 0.817
Iter 734000,error 0.821
Iter 735000,error 0.85
Iter 736000,error 0.818
Iter 737000,error 0.816
Iter 738000,error 0.813
Iter 739000,error 0.817
Iter 740000,error 0.826
Iter 741000,error 0.818
Iter 742000,error 0.824
Iter 743000,error 0.815
Iter 744000,error 0.828
Iter 745000,error 0.813
Iter 746000,error 0.812
Iter 747000,error 0.818
Iter 748000,error 0.813
Iter 749000,error 0.812
Iter 750000,error 0.83
Iter 751000,error 0.824
Iter 752000,error 0.813
Iter 753000,error 0.818
Iter 754000,error 0.819
Iter 755000,error 0.817
Iter 756000,error 0.811
Iter 757000,error 0.818
Iter 758000,error 0.817
Iter 759000,error 0.811
Iter 760000,error 0.82
Iter 761000,error 0.817
Iter 762000,error 0.823
Iter 763000,error 0.81
Iter 764000,error 0.814
Iter 765000,error 0.813
Iter 766000,error 0.813
Iter 767000,error 0.828
Iter 768000,error 0.813
Iter 769000,error 0.811
Iter 770000,error 0.846
Iter 771000,error 0.816
Iter 772000,error 0.815
Iter 773000,error 0.814
Iter 774000,error 0.81
Iter 775000,error 0.835
Iter 776000,error 0.816
Iter 777000,error 0.81
Iter 778000,error 0.817
Iter 779000,error 0.812
Iter 780000,error 0.809
Iter 781000,error 0.825
Iter 782000,error 0.821
Iter 783000,error 0.818
Iter 784000,error 0.811
Iter 785000,error 0.88
Iter 786000,error 0.812
Iter 787000,error 0.821
Iter 788000,error 0.813
Iter 789000,error 0.815
Iter 790000,error 0.825
Iter 791000,error 0.81
Iter 792000,error 0.811
Iter 793000,error 0.809
Iter 794000,error 0.81
Iter 795000,error 0.809
Iter 796000,error 0.819
Iter 797000,error 0.816
Iter 798000,error 0.81
Iter 799000,error 0.81
Iter 800000,error 0.815
Iter 801000,error 0.808
Iter 802000,error 0.842
Iter 803000,error 0.812
Iter 804000,error 0.809
Iter 805000,error 0.81
Iter 806000,error 0.817
Iter 807000,error 0.823
Iter 808000,error 0.821
Iter 809000,error 0.811
Iter 810000,error 0.81
Iter 811000,error 0.828
Iter 812000,error 0.807
Iter 813000,error 0.814
Iter 814000,error 0.82
Iter 815000,error 0.809
Iter 816000,error 0.809
Iter 817000,error 0.812
Iter 818000,error 0.806
Iter 819000,error 0.809
Iter 820000,error 0.813
Iter 821000,error 0.829
Iter 822000,error 0.807
Iter 823000,error 0.808
Iter 824000,error 0.81
Iter 825000,error 0.806
Iter 826000,error 0.807
Iter 827000,error 0.806
Iter 828000,error 0.818
Iter 829000,error 0.815
Iter 830000,error 0.81
Iter 831000,error 0.821
Iter 832000,error 0.81
Iter 833000,error 0.81
Iter 834000,error 0.816
Iter 835000,error 0.808
Iter 836000,error 0.811
Iter 837000,error 0.817
Iter 838000,error 0.81
Iter 839000,error 0.818
Iter 840000,error 0.813
Iter 841000,error 0.807
Iter 842000,error 0.806
Iter 843000,error 0.81
Iter 844000,error 0.808
Iter 845000,error 0.843
Iter 846000,error 0.821
Iter 847000,error 0.808
Iter 848000,error 0.821
Iter 849000,error 0.828
Iter 850000,error 0.806
Iter 851000,error 0.806
Iter 852000,error 0.823
Iter 853000,error 0.808
Iter 854000,error 0.814
Iter 855000,error 0.812
Iter 856000,error 0.82
Iter 857000,error 0.818
Iter 858000,error 0.814
Iter 859000,error 0.805
Iter 860000,error 0.807
Iter 861000,error 0.806
Iter 862000,error 0.811
Iter 863000,error 0.823
Iter 864000,error 0.81
Iter 865000,error 0.809
Iter 866000,error 0.805
Iter 867000,error 0.805
Iter 868000,error 0.807
Iter 869000,error 0.805
